epoch,train_loss,train_err,test_err
0,1.924172043800354,0.68026,0.66
1,1.6164324283599854,0.61152,0.6034
2,1.271581768989563,0.57092,0.5743
3,1.4388197660446167,0.50018,0.502
4,1.3386787176132202,0.45156,0.447
5,1.1820838451385498,0.41042,0.4028
6,1.1168382167816162,0.3695,0.3842
7,1.11663019657135,0.34878,0.3625
8,0.9133750796318054,0.31366,0.3279
9,0.841168999671936,0.28982,0.3011
10,0.8223848342895508,0.2764,0.293
11,0.8870788812637329,0.26972,0.2849
12,0.7693498134613037,0.26114,0.2718
13,0.648544192314148,0.24102,0.2734
14,0.5600084066390991,0.23714,0.2633
15,0.7081295847892761,0.21626,0.2379
16,0.6626101732254028,0.21346,0.2364
17,0.6708521246910095,0.21666,0.2358
18,0.6123428344726562,0.21824,0.2363
19,0.6676765084266663,0.2032,0.2252
20,0.6787889003753662,0.20172,0.2254
21,0.7609687447547913,0.20698,0.2317
22,0.43146592378616333,0.18654,0.2079
23,0.6913539171218872,0.18052,0.2081
24,0.4214479327201843,0.19156,0.2336
25,0.5254782438278198,0.181,0.2052
26,0.7222051024436951,0.17954,0.1955
27,0.6540573835372925,0.16806,0.1956
28,0.44621580839157104,0.172,0.1998
29,0.4313458800315857,0.16822,0.1937
30,0.5282261967658997,0.16278,0.1913
31,0.5700520277023315,0.16182,0.1761
32,0.6478630304336548,0.17098,0.187
33,0.42864990234375,0.1598,0.1986
34,0.40512266755104065,0.15494,0.1864
35,0.5921286344528198,0.15584,0.1931
36,0.6536580920219421,0.15932,0.1941
37,0.5028417706489563,0.15842,0.1901
38,0.3171989917755127,0.1522,0.1809
39,0.4633387625217438,0.14666,0.1728
40,0.46165919303894043,0.14644,0.184
41,0.5636478662490845,0.14968,0.1835
42,0.6032503247261047,0.14526,0.1814
43,0.528965413570404,0.14666,0.1754
44,0.45463624596595764,0.14676,0.1784
45,0.48763471841812134,0.1453,0.1763
46,0.4173228144645691,0.1341,0.1719
47,0.35434263944625854,0.1457,0.1778
48,0.6048685312271118,0.1371,0.1745
49,0.48530277609825134,0.14562,0.1776
50,0.6468929052352905,0.13252,0.172
51,0.5355842709541321,0.13706,0.174
52,0.48668980598449707,0.13712,0.1761
53,0.3713180422782898,0.1342,0.1608
54,0.514544665813446,0.12958,0.1714
55,0.6317298412322998,0.1265,0.1645
56,0.34757256507873535,0.13712,0.173
57,0.3090224862098694,0.12418,0.1726
58,0.3458824157714844,0.13302,0.17
59,0.539826512336731,0.1312,0.1762
60,0.461603581905365,0.12642,0.1715
61,0.5145919322967529,0.131,0.1751
62,0.3326478898525238,0.12344,0.1663
63,0.25201335549354553,0.12926,0.1753
64,0.38275083899497986,0.11504,0.1599
65,0.4733930230140686,0.1398,0.1816
66,0.21607792377471924,0.13194,0.169
67,0.3765445947647095,0.12648,0.1819
68,0.21956241130828857,0.11692,0.1655
69,0.31003719568252563,0.12188,0.1621
70,0.5367446541786194,0.12098,0.1614
71,0.3566986620426178,0.12346,0.1649
72,0.4396486282348633,0.112,0.1628
73,0.2991541624069214,0.11706,0.1577
74,0.2938676178455353,0.11588,0.1604
75,0.3513612747192383,0.1193,0.1709
76,0.36563804745674133,0.1123,0.156
77,0.42435163259506226,0.11876,0.1558
78,0.44288864731788635,0.11812,0.1566
79,0.4112185537815094,0.11816,0.1535
80,0.24833866953849792,0.11756,0.1656
81,0.3087470531463623,0.11874,0.1599
82,0.3944985568523407,0.1154,0.1605
83,0.24000701308250427,0.0703,0.1249
84,0.15180036425590515,0.0637,0.1204
85,0.1830037385225296,0.0593,0.1241
86,0.05798368901014328,0.05654,0.1178
87,0.23008978366851807,0.05302,0.1178
88,0.18352584540843964,0.05254,0.1147
89,0.20170846581459045,0.05106,0.1198
90,0.19580408930778503,0.0497,0.1152
91,0.18258075416088104,0.04854,0.1169
92,0.07751570641994476,0.04694,0.1183
93,0.09269868582487106,0.04548,0.1175
94,0.12116014957427979,0.04356,0.1143
95,0.19157561659812927,0.04196,0.1144
96,0.08317628502845764,0.04264,0.1176
97,0.13743866980075836,0.04258,0.1152
98,0.1213507428765297,0.04044,0.1149
99,0.12973441183567047,0.03934,0.1132
100,0.09971115738153458,0.03728,0.1142
101,0.12601979076862335,0.03866,0.1169
102,0.028565626591444016,0.03624,0.117
103,0.10235551744699478,0.03662,0.1179
104,0.10259566456079483,0.03598,0.1149
105,0.09256530553102493,0.035,0.1193
106,0.15561696887016296,0.03488,0.1208
107,0.3042059540748596,0.03636,0.1173
108,0.18033473193645477,0.0326,0.118
109,0.09673850238323212,0.03238,0.1169
110,0.19511626660823822,0.03066,0.1218
111,0.06688437610864639,0.03088,0.117
112,0.06814687699079514,0.031,0.118
113,0.11479473114013672,0.03182,0.1149
114,0.11875854432582855,0.03216,0.1165
115,0.1469314992427826,0.02986,0.1158
116,0.07384587824344635,0.02994,0.1184
117,0.11041909456253052,0.0298,0.1161
118,0.04980664700269699,0.02812,0.1156
119,0.10722742229700089,0.02818,0.1209
120,0.12304721027612686,0.02866,0.1187
121,0.051449913531541824,0.0276,0.1193
122,0.11745007336139679,0.02638,0.1207
123,0.07247500866651535,0.02724,0.117
124,0.02555878832936287,0.02116,0.1146
125,0.09875941276550293,0.01996,0.1149
126,0.09858255088329315,0.01964,0.1145
127,0.03491611406207085,0.01804,0.1126
128,0.10544504225254059,0.01852,0.1136
129,0.052850790321826935,0.01848,0.1155
130,0.07744093239307404,0.01642,0.1144
131,0.11164724826812744,0.01758,0.1141
132,0.04638988524675369,0.01842,0.1135
133,0.036643218249082565,0.01628,0.115
134,0.06917954236268997,0.01652,0.1157
135,0.04306820407509804,0.01684,0.1143
136,0.054551176726818085,0.01564,0.1154
137,0.03648579865694046,0.01588,0.1133
138,0.08011744916439056,0.01528,0.1124
139,0.046008117496967316,0.01676,0.1133
140,0.09098152816295624,0.01546,0.1139
141,0.011982965283095837,0.01636,0.1117
142,0.02917846478521824,0.01524,0.1085
143,0.04430372267961502,0.01502,0.1139
144,0.04054216295480728,0.01482,0.1141
145,0.044511694461107254,0.01498,0.1154
146,0.024368327111005783,0.01576,0.1135
147,0.039895426481962204,0.0148,0.1142
148,0.12879052758216858,0.01516,0.1155
149,0.0609559640288353,0.01422,0.1135
150,0.0504877045750618,0.01536,0.1116
151,0.01825871504843235,0.0152,0.1125
152,0.019991636276245117,0.01396,0.1143
153,0.042543359100818634,0.01434,0.1124
154,0.01915142498910427,0.01394,0.1136
155,0.05768943950533867,0.01386,0.1131
156,0.021155934780836105,0.01414,0.1123
157,0.022367965430021286,0.01448,0.1129
158,0.03215346857905388,0.01354,0.1127
159,0.06464938819408417,0.0142,0.1126
160,0.054892897605895996,0.01458,0.1111
161,0.008065694943070412,0.01366,0.1156
162,0.09711795300245285,0.0129,0.1111
163,0.048670731484889984,0.01392,0.1148
