epoch,train_loss,train_err,test_err
0,1.499254822731018,0.61566,0.6069
1,1.022452473640442,0.51664,0.4997
2,1.090251088142395,0.38914,0.382
3,0.8763676881790161,0.29854,0.2992
4,0.8454016447067261,0.28306,0.2897
5,0.669134259223938,0.27448,0.2744
6,0.532276451587677,0.2608,0.2684
7,0.5964977741241455,0.21076,0.2224
8,0.4371801018714905,0.28888,0.2835
9,0.5352182388305664,0.22138,0.2315
10,0.6388147473335266,0.21286,0.2237
11,0.47582489252090454,0.22078,0.232
12,0.581086277961731,0.20078,0.2097
13,0.3963351249694824,0.23742,0.2532
14,0.44493189454078674,0.16326,0.1834
15,0.31357645988464355,0.18656,0.1997
16,0.42302703857421875,0.16804,0.1885
17,0.243118017911911,0.17634,0.202
18,0.4220871329307556,0.1731,0.1949
19,0.5152641534805298,0.1826,0.21
20,0.6076605319976807,0.16226,0.1946
21,0.41358083486557007,0.16836,0.2021
22,0.5245484709739685,0.13858,0.1649
23,0.42688316106796265,0.19374,0.2225
24,0.37932509183883667,0.15314,0.1889
25,0.5807479619979858,0.17602,0.211
26,0.32735365629196167,0.163,0.1908
27,0.47466176748275757,0.15568,0.1808
28,0.2951030135154724,0.14926,0.1723
29,0.5032116770744324,0.15078,0.185
30,0.5263324975967407,0.1472,0.1732
31,0.21272572875022888,0.15504,0.1912
32,0.2875305414199829,0.13682,0.1733
33,0.36057549715042114,0.1631,0.1911
34,0.4140971601009369,0.15996,0.1883
35,0.33695462346076965,0.13868,0.1759
36,0.39454221725463867,0.1691,0.1995
37,0.5945028066635132,0.13052,0.1602
38,0.4999990463256836,0.14412,0.1754
39,0.3613594174385071,0.18566,0.2156
40,0.36755576729774475,0.15364,0.18
41,0.34494495391845703,0.11718,0.1514
42,0.2901015877723694,0.14472,0.171
43,0.28944966197013855,0.15642,0.1825
44,0.4158923625946045,0.14308,0.1815
45,0.33514973521232605,0.13874,0.1695
46,0.3165847361087799,0.1282,0.1632
47,0.26852327585220337,0.13538,0.1709
48,0.3251100182533264,0.12818,0.1597
49,0.3757118284702301,0.12598,0.1658
50,0.4653482437133789,0.17172,0.2044
51,0.20020970702171326,0.11492,0.1541
52,0.23829862475395203,0.12148,0.1578
53,0.23309306800365448,0.12962,0.1589
54,0.3819354474544525,0.12178,0.1625
55,0.19400544464588165,0.12416,0.1611
56,0.3991447389125824,0.12116,0.1563
57,0.28131890296936035,0.1342,0.174
58,0.2812488079071045,0.13712,0.1685
59,0.4479674696922302,0.11916,0.1568
60,0.37696555256843567,0.12008,0.1563
61,0.2809322476387024,0.1325,0.1657
62,0.2712138593196869,0.19158,0.2222
63,0.2261733114719391,0.10678,0.1476
64,0.22348633408546448,0.1467,0.1773
65,0.4038763642311096,0.1288,0.1665
